"","comid","comid_wy","wayr","WYT","abs_FFM_median_cfs","hydro","FlowMetric","Scenario","hydro.endpoints","PredictedProbability","PredictedProbabilityScaled","index"
"2",20332660,"20332660_2004",2004,"dry",0.289401598,0.289401598,"ds_mag_50","Current","DS_Mag_50",0.669818689437462,0.99686173668294,"CSCI"
"3",20348867,"20348867_2000",2000,"moderate",0.208837746,0.058837746,"ds_mag_50","Current","DS_Mag_50",0.669868415537603,0.999366895290562,"CSCI"
"4",20325361,"20325361_2013",2013,"dry",0.985499584,0.985499584,"ds_mag_50","Current","DS_Mag_50",0.66966853775787,0.989297222845873,"CSCI"
"5",20342991,"20342991_2000",2000,"dry",8.455527056,8.455527056,"ds_mag_50","Current","DS_Mag_50",0.668055044129313,0.908010786940366,"CSCI"
"6",20344477,"20344477_1990",1990,"dry",0.607699883,0.037699883,"ds_mag_50","Current","DS_Mag_50",0.669872974186586,0.999596556146896,"CSCI"
"7",20331374,"20331374_1997",1997,"moderate",12.65861888,12.56861888,"ds_mag_50","Current","DS_Mag_50",0.667164943691718,0.863168284379804,"CSCI"
"8",20332716,"20332716_1992",1992,"wet",0.482225275,0.372225275,"ds_mag_50","Current","DS_Mag_50",0.669800825786292,0.99596178113916,"CSCI"
"9",948070417,"948070417_1992",1992,"wet",0.252387196,0.182387196,"ds_mag_50","Current","DS_Mag_50",0.669841769888804,0.998024510179812,"CSCI"
"10",20350737,"20350737_2009",2009,"moderate",0.190598069,0.190598069,"ds_mag_50","Current","DS_Mag_50",0.669839999028527,0.997935295746074,"CSCI"
"11",20334722,"20334722_1997",1997,"moderate",0.328910839,0.268910839,"ds_mag_50","Current","DS_Mag_50",0.669823108868252,0.997084383845172,"CSCI"
"12",22548393,"22548393_2001",2001,"moderate",0.506063104,0.506063104,"ds_mag_50","Current","DS_Mag_50",0.669771958219021,0.994507457666691,"CSCI"
"13",20332844,"20332844_1992",1992,"wet",0.324082418,0.124082418,"ds_mag_50","Current","DS_Mag_50",0.669854344492964,0.998658008036288,"CSCI"
"14",20333790,"20333790_2011",2011,"wet",3.686869797,3.676869797,"ds_mag_50","Current","DS_Mag_50",0.669087671045874,0.96003365221961,"CSCI"
"15",20332970,"20332970_2000",2000,"moderate",0.810010573,0.810010573,"ds_mag_50","Current","DS_Mag_50",0.669706394842637,0.991204430559619,"CSCI"
"16",22547109,"22547109_1992",1992,"moderate",2.600465951,2.600465951,"ds_mag_50","Current","DS_Mag_50",0.669320048567424,0.971740633999387,"CSCI"
"17",948070184,"948070184_2000",2000,"moderate",3.332065768,3.312065768,"ds_mag_50","Current","DS_Mag_50",0.669166435359038,0.964001731287492,"CSCI"
"18",20334586,"20334586_1994",1994,"moderate",0.523892274,0.313892274,"ds_mag_50","Current","DS_Mag_50",0.669813407268369,0.996595625499242,"CSCI"
"19",22548209,"22548209_2007",2007,"dry",2.43423976,2.43423976,"ds_mag_50","Current","DS_Mag_50",0.669355926651929,0.97354814136409,"CSCI"
"20",20326323,"20326323_1991",1991,"wet",1.440364053,1.010364053,"ds_mag_50","Current","DS_Mag_50",0.669663173732438,0.989026987809457,"CSCI"
"21",20332082,"20332082_2002",2002,"dry",16.5386208,16.4486208,"ds_mag_50","Current","DS_Mag_50",0.666324190530727,0.820811855619459,"CSCI"
"22",22547503,"22547503_2009",2009,"dry",1.700478022,1.700478022,"ds_mag_50","Current","DS_Mag_50",0.669514277461681,0.981525720401113,"CSCI"
"23",20325637,"20325637_2005",2005,"wet",2.534210872,0.294210872,"ds_mag_50","Current","DS_Mag_50",0.669817652172681,0.996809480165994,"CSCI"
