COMID,FlowMetric,PredictedProbabilityScaled,Index,IndexCode
20332660,DS_Mag_50,9.967747e-01,ASCI,ASCI_DS_Mag_50
20348867,DS_Mag_50,9.993493e-01,ASCI,ASCI_DS_Mag_50
20325361,DS_Mag_50,9.890025e-01,ASCI,ASCI_DS_Mag_50
20342991,DS_Mag_50,9.056794e-01,ASCI,ASCI_DS_Mag_50
20344477,DS_Mag_50,9.995853e-01,ASCI,ASCI_DS_Mag_50
20331374,DS_Mag_50,8.598666e-01,ASCI,ASCI_DS_Mag_50
20332716,DS_Mag_50,9.958499e-01,ASCI,ASCI_DS_Mag_50
948070417,DS_Mag_50,9.979696e-01,ASCI,ASCI_DS_Mag_50
20350737,DS_Mag_50,9.978780e-01,ASCI,ASCI_DS_Mag_50
20334722,DS_Mag_50,9.970035e-01,ASCI,ASCI_DS_Mag_50
22548393,DS_Mag_50,9.943554e-01,ASCI,ASCI_DS_Mag_50
20332844,DS_Mag_50,9.986207e-01,ASCI,ASCI_DS_Mag_50
20333790,DS_Mag_50,9.589646e-01,ASCI,ASCI_DS_Mag_50
20332970,DS_Mag_50,9.909618e-01,ASCI,ASCI_DS_Mag_50
22547109,DS_Mag_50,9.709758e-01,ASCI,ASCI_DS_Mag_50
948070184,DS_Mag_50,9.630350e-01,ASCI,ASCI_DS_Mag_50
20334586,DS_Mag_50,9.965012e-01,ASCI,ASCI_DS_Mag_50
22548209,DS_Mag_50,9.728310e-01,ASCI,ASCI_DS_Mag_50
20326323,DS_Mag_50,9.887249e-01,ASCI,ASCI_DS_Mag_50
20332082,DS_Mag_50,8.166945e-01,ASCI,ASCI_DS_Mag_50
22547503,DS_Mag_50,9.810209e-01,ASCI,ASCI_DS_Mag_50
20325637,DS_Mag_50,9.967210e-01,ASCI,ASCI_DS_Mag_50
22547119,DS_Mag_50,9.934307e-01,ASCI,ASCI_DS_Mag_50
20343051,DS_Mag_50,9.912526e-01,ASCI,ASCI_DS_Mag_50
20341789,DS_Mag_50,9.971112e-01,ASCI,ASCI_DS_Mag_50
948070390,DS_Mag_50,8.267054e-01,ASCI,ASCI_DS_Mag_50
20348873,DS_Mag_50,9.986367e-01,ASCI,ASCI_DS_Mag_50
20325083,DS_Mag_50,9.950011e-01,ASCI,ASCI_DS_Mag_50
20329228,DS_Mag_50,9.650300e-01,ASCI,ASCI_DS_Mag_50
20348855,DS_Mag_50,9.993327e-01,ASCI,ASCI_DS_Mag_50
948070218,DS_Mag_50,9.957376e-01,ASCI,ASCI_DS_Mag_50
20325177,DS_Mag_50,9.992316e-01,ASCI,ASCI_DS_Mag_50
