"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"2",101010,"DS_Dur_WS",19,"Current","ds_dur_ws",0.0106453349216385,0.0143371042319055,"CSCI"
"3",101011,"DS_Dur_WS",20.5,"Current","ds_dur_ws",0.00687256443632735,0.00925594858117858,"CSCI"
"4",101012,"DS_Dur_WS",29,"Current","ds_dur_ws",0.000567027920082057,0.000763671453501129,"CSCI"
"5",101020,"DS_Dur_WS",104,"Current","ds_dur_ws",1.47630680993136e-13,1.98529496736171e-13,"CSCI"
"6",201010,"DS_Dur_WS",29.5,"Current","ds_dur_ws",0.000489486039537896,0.00065923828799876,"CSCI"
"7",201020,"DS_Dur_WS",28.5,"Current","ds_dur_ws",0.000656845517143919,0.000884637516139299,"CSCI"
"8",201030,"DS_Dur_WS",25,"Current","ds_dur_ws",0.00183753080446397,0.00247478081872124,"CSCI"
"9",201031,"DS_Dur_WS",72,"Current","ds_dur_ws",1.81400129163448e-09,2.44309104438168e-09,"CSCI"
"10",201050,"DS_Dur_WS",46,"Current","ds_dur_ws",3.81349318332076e-06,5.13600085447881e-06,"CSCI"
"11",201061,"DS_Dur_WS",26.5,"Current","ds_dur_ws",0.00118256772639442,0.00159267856571974,"CSCI"
"12",201070,"DS_Dur_WS",22,"Current","ds_dur_ws",0.00443089815058852,0.00596751996001692,"CSCI"
"13",201080,"DS_Dur_WS",22,"Current","ds_dur_ws",0.00443089815058852,0.00596751996001692,"CSCI"
"14",201090,"DS_Dur_WS",34,"Current","ds_dur_ws",0.000130261453153222,0.000175435723253564,"CSCI"
"15",201091,"DS_Dur_WS",135,"Current","ds_dur_ws",2.22044604925031e-16,0,"CSCI"
"16",201100,"DS_Dur_WS",4,"Current","ds_dur_ws",0.47052781599493,0.633705411016975,"CSCI"
"17",203010,"DS_Dur_WS",19.5,"Current","ds_dur_ws",0.00920226007915473,0.0123935754858934,"CSCI"
"18",204010,"DS_Dur_WS",46,"Current","ds_dur_ws",3.81349318332076e-06,5.13600085447881e-06,"CSCI"
"19",205010,"DS_Dur_WS",16,"Current","ds_dur_ws",0.0253536989136996,0.0341462834815266,"CSCI"
"20",207010,"DS_Dur_WS",59,"Current","ds_dur_ws",8.31727527657608e-08,1.12016806540289e-07,"CSCI"
"21",301010,"DS_Dur_WS",7,"Current","ds_dur_ws",0.268782850716352,0.361995914157295,"CSCI"
"22",301011,"DS_Dur_WS",45,"Current","ds_dur_ws",5.11820955310319e-06,6.8931888362887e-06,"CSCI"
"23",301020,"DS_Dur_WS",3,"Current","ds_dur_ws",0.543945023462236,0.732583479543936,"CSCI"
"24",401080,"DS_Dur_WS",13,"Current","ds_dur_ws",0.0591688263059372,0.0796883927346813,"CSCI"
"25",401101,"DS_Dur_WS",0,"Current","ds_dur_ws",0.742502443272219,1,"CSCI"
"26",401120,"DS_Dur_WS",8.5,"Current","ds_dur_ws",0.191205326647262,0.257514744065511,"CSCI"
"27",402010,"DS_Dur_WS",0,"Current","ds_dur_ws",0.742502443272219,1,"CSCI"
"28",402020,"DS_Dur_WS",20,"Current","ds_dur_ws",0.0079532349752707,0.0107113923291895,"CSCI"
"29",402021,"DS_Dur_WS",17,"Current","ds_dur_ws",0.0190134826547821,0.0256072997834044,"CSCI"
"30",402022,"DS_Dur_WS",18.5,"Current","ds_dur_ws",0.0123118970117936,0.0165816249136294,"CSCI"
"31",402023,"DS_Dur_WS",21,"Current","ds_dur_ws",0.00593785446651908,0.00799708407739461,"CSCI"
"32",402030,"DS_Dur_WS",13.5,"Current","ds_dur_ws",0.0514902755211185,0.0693469442257993,"CSCI"
"33",402031,"DS_Dur_WS",2,"Current","ds_dur_ws",0.615500954040334,0.828954786098497,"CSCI"
"34",402040,"DS_Dur_WS",1,"Current","ds_dur_ws",0.682385325447323,0.919034451173037,"CSCI"
"35",402041,"DS_Dur_WS",0,"Current","ds_dur_ws",0.742502443272219,1,"CSCI"
"36",403010,"DS_Dur_WS",28,"Current","ds_dur_ws",0.000760879449604314,0.00102475009543522,"CSCI"
