"site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
101010,"DS_Dur_WS",19,"Current","ds_dur_ws",0.228687853987438,0.520031765246268,"ASCI"
101011,"DS_Dur_WS",20.5,"Current","ds_dur_ws",0.215453032244502,0.489831602811746,"ASCI"
101012,"DS_Dur_WS",29,"Current","ds_dur_ws",0.151024176494751,0.342813233625824,"ASCI"
101020,"DS_Dur_WS",104,"Current","ds_dur_ws",0.00384163610067159,0.00696159060696579,"ASCI"
201010,"DS_Dur_WS",29.5,"Current","ds_dur_ws",0.147778296155539,0.335406551813917,"ASCI"
201020,"DS_Dur_WS",28.5,"Current","ds_dur_ws",0.154328440420656,0.350353139279795,"ASCI"
201030,"DS_Dur_WS",25,"Current","ds_dur_ws",0.179130650609368,0.406948595643537,"ASCI"
201031,"DS_Dur_WS",72,"Current","ds_dur_ws",0.0193928034353133,0.0424473560124031,"ASCI"
201050,"DS_Dur_WS",46,"Current","ds_dur_ws",0.0694579763569315,0.156689646835269,"ASCI"
201061,"DS_Dur_WS",26.5,"Current","ds_dur_ws",0.168138646024488,0.381866253743347,"ASCI"
201070,"DS_Dur_WS",22,"Current","ds_dur_ws",0.202782777940268,0.460919710720809,"ASCI"
201080,"DS_Dur_WS",22,"Current","ds_dur_ws",0.202782777940268,0.460919710720809,"ASCI"
201090,"DS_Dur_WS",34,"Current","ds_dur_ws",0.121103820044811,0.27453882521762,"ASCI"
201091,"DS_Dur_WS",135,"Current","ds_dur_ws",0.000790811095003068,0,"ASCI"
201100,"DS_Dur_WS",4,"Current","ds_dur_ws",0.38949112896402,0.886964174206581,"ASCI"
203010,"DS_Dur_WS",19.5,"Current","ds_dur_ws",0.224213620041725,0.509822138357814,"ASCI"
204010,"DS_Dur_WS",46,"Current","ds_dur_ws",0.0694579763569315,0.156689646835269,"ASCI"
205010,"DS_Dur_WS",16,"Current","ds_dur_ws",0.256836099949451,0.584262445251715,"ASCI"
207010,"DS_Dur_WS",59,"Current","ds_dur_ws",0.036999211599966,0.0826229168766664,"ASCI"
301010,"DS_Dur_WS",7,"Current","ds_dur_ws",0.353724294782496,0.805348854935117,"ASCI"
301011,"DS_Dur_WS",45,"Current","ds_dur_ws",0.0728333233463448,0.164391754905411,"ASCI"
301020,"DS_Dur_WS",3,"Current","ds_dur_ws",0.401704947610202,0.91483453878156,"ASCI"
401080,"DS_Dur_WS",13,"Current","ds_dur_ws",0.287159109559943,0.653455656428072,"ASCI"
401101,"DS_Dur_WS",0,"Current","ds_dur_ws",0.439027584543854,1,"ASCI"
401120,"DS_Dur_WS",8.5,"Current","ds_dur_ws",0.336409346494289,0.765838368053924,"ASCI"
402010,"DS_Dur_WS",0,"Current","ds_dur_ws",0.439027584543854,1,"ASCI"
402020,"DS_Dur_WS",20,"Current","ds_dur_ws",0.219801977923434,0.499755337975974,"ASCI"
402021,"DS_Dur_WS",17,"Current","ds_dur_ws",0.247207039269945,0.562290166194149,"ASCI"
402022,"DS_Dur_WS",18.5,"Current","ds_dur_ws",0.233224530750288,0.530383878619017,"ASCI"
402023,"DS_Dur_WS",21,"Current","ds_dur_ws",0.211166844347744,0.480051072841552,"ASCI"
402030,"DS_Dur_WS",13.5,"Current","ds_dur_ws",0.281959087007923,0.641589873209798,"ASCI"
402031,"DS_Dur_WS",2,"Current","ds_dur_ws",0.414042020723284,0.942986154210798,"ASCI"
402040,"DS_Dur_WS",1,"Current","ds_dur_ws",0.426487897352691,0.971386045282146,"ASCI"
402041,"DS_Dur_WS",0,"Current","ds_dur_ws",0.439027584543854,1,"ASCI"
403010,"DS_Dur_WS",28,"Current","ds_dur_ws",0.157691570319035,0.358027369518191,"ASCI"
403011,"DS_Dur_WS",8.5,"Current","ds_dur_ws",0.336409346494289,0.765838368053924,"ASCI"
501020,"DS_Dur_WS",3,"Current","ds_dur_ws",0.401704947610202,0.91483453878156,"ASCI"
502010,"DS_Dur_WS",13,"Current","ds_dur_ws",0.287159109559943,0.653455656428072,"ASCI"
502011,"DS_Dur_WS",0,"Current","ds_dur_ws",0.439027584543854,1,"ASCI"
502020,"DS_Dur_WS",7.5,"Current","ds_dur_ws",0.347907178470951,0.792074943059204,"ASCI"
201040,"DS_Dur_WS",-10,"Current","ds_dur_ws",0.159687486551914,0.445798552392658,"ASCI"
201041,"DS_Dur_WS",-4.5,"Current","ds_dur_ws",0.268490981861434,0.749627704733495,"ASCI"
201060,"DS_Dur_WS",-1.5,"Current","ds_dur_ws",0.344514566696795,0.961920345449955,"ASCI"
201062,"DS_Dur_WS",-8,"Current","ds_dur_ws",0.194475594600929,0.542942870688735,"ASCI"
301030,"DS_Dur_WS",-12,"Current","ds_dur_ws",0.130117131820525,0.363224589241038,"ASCI"
401070,"DS_Dur_WS",-14,"Current","ds_dur_ws",0.105336106961585,0.294024626908854,"ASCI"
401100,"DS_Dur_WS",-29,"Current","ds_dur_ws",0.0191793690519359,0.0534355854164549,"ASCI"
401110,"DS_Dur_WS",-6.5,"Current","ds_dur_ws",0.224147072519758,0.625799216058265,"ASCI"
401121,"DS_Dur_WS",-1,"Current","ds_dur_ws",0.358151176229826,1,"ASCI"
402050,"DS_Dur_WS",-42,"Current","ds_dur_ws",0.00410903873579877,0.0113523263040272,"ASCI"
402051,"DS_Dur_WS",-35,"Current","ds_dur_ws",0.00944612682617829,0.0262559187470403,"ASCI"
402060,"DS_Dur_WS",-36,"Current","ds_dur_ws",0.00838954855696431,0.02330546868104,"ASCI"
403020,"DS_Dur_WS",-7,"Current","ds_dur_ws",0.21391223180337,0.597218856848687,"ASCI"
403030,"DS_Dur_WS",-26,"Current","ds_dur_ws",0.0272386485959249,0.0759407821967804,"ASCI"
404010,"DS_Dur_WS",-58,"Current","ds_dur_ws",0.000607594291252912,0.00157469099434782,"ASCI"
405010,"DS_Dur_WS",-61.5,"Current","ds_dur_ws",0.000399742556409466,0.000994273828241111,"ASCI"
405020,"DS_Dur_WS",-80,"Current","ds_dur_ws",4.36856508296698e-05,0,"ASCI"
501010,"DS_Dur_WS",-25,"Current","ds_dur_ws",0.0305958347256741,0.0853155822723703,"ASCI"
501011,"DS_Dur_WS",-32,"Current","ds_dur_ws",0.0134716186857539,0.0374969342674559,"ASCI"
502030,"DS_Dur_WS",-73,"Current","ds_dur_ws",0.00010096274747877,0.00015994386645332,"ASCI"
201061,"SP_Dur",17,"Current","sp_dur",0.386496561998318,0.651803468421767,"ASCI"
301010,"SP_Dur",18.5,"Current","sp_dur",0.386145416207458,0.621143220797631,"ASCI"
301020,"SP_Dur",0,"Current","sp_dur",0.390484388448854,1,"ASCI"
301030,"SP_Dur",1.5,"Current","sp_dur",0.390131923524131,0.969224572379463,"ASCI"
401101,"SP_Dur",0,"Current","sp_dur",0.390484388448854,1,"ASCI"
401110,"SP_Dur",0,"Current","sp_dur",0.390484388448854,1,"ASCI"
401120,"SP_Dur",0,"Current","sp_dur",0.390484388448854,1,"ASCI"
401121,"SP_Dur",0,"Current","sp_dur",0.390484388448854,1,"ASCI"
402041,"SP_Dur",0,"Current","sp_dur",0.390484388448854,1,"ASCI"
403020,"SP_Dur",3,"Current","sp_dur",0.389779573294435,0.938459159339899,"ASCI"
403030,"SP_Dur",4,"Current","sp_dur",0.389544737023908,0.917954461881193,"ASCI"
404010,"SP_Dur",49,"Current","sp_dur",0.379031584963244,0,"ASCI"
405010,"SP_Dur",17.5,"Current","sp_dur",0.38637950026465,0.641582238849878,"ASCI"
405020,"SP_Dur",11,"Current","sp_dur",0.387902322757256,0.774547280511457,"ASCI"
501011,"SP_Dur",35,"Current","sp_dur",0.382290698896619,0.284569095896056,"ASCI"
502030,"SP_Dur",36.5,"Current","sp_dur",0.381940995380793,0.254034780322967,"ASCI"
101010,"SP_Dur",-42.5,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
101011,"SP_Dur",-29.5,"Current","sp_dur",3.31654557143395e-13,7.15376330369751e-13,"ASCI"
101012,"SP_Dur",-41,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
101020,"SP_Dur",-24.5,"Current","sp_dur",4.99842976296097e-11,1.07887498106495e-10,"ASCI"
201010,"SP_Dur",-49,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201020,"SP_Dur",-42,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201030,"SP_Dur",-16,"Current","sp_dur",2.52164790501085e-07,5.44281914096583e-07,"ASCI"
201031,"SP_Dur",-10,"Current","sp_dur",0.000103613585957859,0.000223643438994903,"ASCI"
201040,"SP_Dur",-38,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201041,"SP_Dur",-33,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201050,"SP_Dur",-46,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201060,"SP_Dur",-18,"Current","sp_dur",3.39176294568854e-08,7.32090794322596e-08,"ASCI"
201062,"SP_Dur",-7,"Current","sp_dur",0.00209623005643524,0.0045245813511105,"ASCI"
201070,"SP_Dur",-36,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201080,"SP_Dur",-41,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
201090,"SP_Dur",-11,"Current","sp_dur",3.80028069854282e-05,8.20266798709772e-05,"ASCI"
201091,"SP_Dur",-27.5,"Current","sp_dur",2.46572716054019e-12,5.32163845012308e-12,"ASCI"
201100,"SP_Dur",-38,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
203010,"SP_Dur",-45.5,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
204010,"SP_Dur",-73,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
205010,"SP_Dur",-5.5,"Current","sp_dur",0.0093692830220518,0.0202230108783697,"ASCI"
207010,"SP_Dur",-11.5,"Current","sp_dur",2.30148115336143e-05,4.96760299489284e-05,"ASCI"
301011,"SP_Dur",-22,"Current","sp_dur",6.13631161605528e-10,1.32448396924693e-09,"ASCI"
401070,"SP_Dur",-10.5,"Current","sp_dur",6.27508611132455e-05,0.000135443805457578,"ASCI"
401080,"SP_Dur",-19,"Current","sp_dur",1.24393009681232e-08,2.68494519500785e-08,"ASCI"
401100,"SP_Dur",-7,"Current","sp_dur",0.00209623005643524,0.0045245813511105,"ASCI"
402010,"SP_Dur",-37,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402020,"SP_Dur",-31,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402021,"SP_Dur",-47,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402022,"SP_Dur",-54,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402023,"SP_Dur",-53,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402030,"SP_Dur",-48,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402031,"SP_Dur",-49,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402040,"SP_Dur",-47,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
402050,"SP_Dur",-2,"Current","sp_dur",0.240462402402276,0.519023042443574,"ASCI"
402051,"SP_Dur",-1,"Current","sp_dur",0.463298125012278,1,"ASCI"
402060,"SP_Dur",-6,"Current","sp_dur",0.00569507432376176,0.01229246141156,"ASCI"
403010,"SP_Dur",-11.5,"Current","sp_dur",2.30148115336143e-05,4.96760299489284e-05,"ASCI"
403011,"SP_Dur",-32,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
501010,"SP_Dur",-2.5,"Current","sp_dur",0.160881603176343,0.34725286913708,"ASCI"
501020,"SP_Dur",-1,"Current","sp_dur",0.463298125012278,1,"ASCI"
502010,"SP_Dur",-3,"Current","sp_dur",0.104030697516563,0.224543748183322,"ASCI"
502011,"SP_Dur",-16,"Current","sp_dur",2.52164790501085e-07,5.44281914096583e-07,"ASCI"
502020,"SP_Dur",-12,"Current","sp_dur",1.39378761944422e-05,3.00840332428516e-05,"ASCI"
101010,"DS_Mag_50",0.0469320436041667,"Current","ds_mag_50",0.142647319279329,0.0259534502465892,"ASCI"
201010,"DS_Mag_50",1.70442064305768,"Current","ds_mag_50",0.143249458919103,0.944202203046574,"ASCI"
201020,"DS_Mag_50",1.80495149904564,"Current","ds_mag_50",0.143286048204147,1,"ASCI"
201030,"DS_Mag_50",0.043684090454075,"Current","ds_mag_50",0.142646141422874,0.0241572469253023,"ASCI"
201040,"DS_Mag_50",1.078625,"Current","ds_mag_50",0.143021868822299,0.597132671770132,"ASCI"
201041,"DS_Mag_50",1.01321219896665,"Current","ds_mag_50",0.14299809681564,0.560880922134541,"ASCI"
201060,"DS_Mag_50",0.665725,"Current","ds_mag_50",0.14287186987096,0.368387807803659,"ASCI"
201062,"DS_Mag_50",0.60115,"Current","ds_mag_50",0.142848422822906,0.332631612379164,"ASCI"
201070,"DS_Mag_50",0.944344416666665,"Current","ds_mag_50",0.142973072773651,0.522719848144023,"ASCI"
201080,"DS_Mag_50",0.93594381337001,"Current","ds_mag_50",0.142970020550285,0.518065279478686,"ASCI"
201090,"DS_Mag_50",0,"Current","ds_mag_50",0.142630300360289,0,"ASCI"
201091,"DS_Mag_50",0,"Current","ds_mag_50",0.142630300360289,0,"ASCI"
201100,"DS_Mag_50",1.038375,"Current","ds_mag_50",0.143007240970576,0.574825542802004,"ASCI"
203010,"DS_Mag_50",0.520229898052835,"Current","ds_mag_50",0.142819045429358,0.287831779908603,"ASCI"
204010,"DS_Mag_50",0.327074891786808,"Current","ds_mag_50",0.142748942407505,0.180926324543237,"ASCI"
205010,"DS_Mag_50",0.102512636719543,"Current","ds_mag_50",0.142667476602541,0.0566928928551715,"ASCI"
